pmax,beta,gamma,p,s,r,c,P,E,P/E
10,0.0,1.0,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,1.3877551020408163,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,1.7755102040816326,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,2.163265306122449,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,2.5510204081632653,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,2.9387755102040813,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,3.326530612244898,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,3.7142857142857144,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,4.1020408163265305,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,4.489795918367347,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,4.877551020408163,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,5.26530612244898,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,5.653061224489796,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,6.040816326530612,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,6.428571428571429,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,6.816326530612245,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,7.204081632653061,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,7.591836734693877,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,7.979591836734693,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,8.36734693877551,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,8.755102040816325,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,9.142857142857142,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,9.53061224489796,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,9.918367346938775,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,10.306122448979592,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,10.693877551020408,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,11.081632653061224,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,11.46938775510204,10.0,1.0,1.0,1.0,9.0,0.9,10.0
10,0.0,11.857142857142858,10.0,1.0,1.0,1.0,9.0,0.9,10.0
