case,pmax,beta,gamma,p,s,r,c,rho_P,rc
1,10,0.0,5.0,0.47398481524309616,0.5260151847569037,-0.12330802540516039,0.5260151847569037,0.00641576212584846,-0.06486189376550441
1,10,0.0,5.625,0.46168706771892776,0.538312932281072,-0.19899658530632314,0.538312932281072,0.015248285394011504,-0.1071224353501673
1,10,0.0,6.25,0.45146679151058433,0.5485332084894156,-0.2738891489803841,0.5485332084894156,0.026585438340907187,-0.15023729366064562
1,10,0.0,6.875,0.4428235537121037,0.5571764462878963,-0.34813731059023767,0.5571764462878963,0.039810508479550796,-0.19397390953489424
1,10,0.0,7.5,0.4354085916099516,0.5645914083900483,-0.4218548123582124,0.5645914083900483,0.05449639293267303,-0.2381756026454427
1,10,0.0,8.125,0.42897072459070795,0.571029275409292,-0.49512904576650074,0.571029275409292,0.0703373147097775,-0.2827331802381391
1,10,0.0,8.75,0.423324056727845,0.5766759432721549,-0.5680284987895481,0.5766759432721549,0.08710824190030943,-0.32756837034492875
1,10,0.0,9.375,0.418327814509025,0.581672185490975,-0.6406077536740367,0.581672185490975,0.10463967057004547,-0.3726237121220411
1,10,0.0,10.0,0.41387328290318876,0.5861267170968112,-0.7129109430106291,0.5861267170968112,0.12280135820779471,-0.4178561506092119
1,10,0.0,10.625,0.40987506865431517,0.5901249313456849,-0.7849742014840329,0.5901249313456849,0.14149149203376452,-0.4632328467588987
1,10,0.0,11.25,0.4062650961427536,0.5937349038572464,-0.8568274438686594,0.5937349038572464,0.16062927614655795,-0.5087283600076087
1,10,0.0,11.875,0.4029883821656327,0.5970116178343672,-0.9284956794056298,0.5970116178343672,0.18014973602272025,-0.554322707714175
1,10,0.0,12.5,0.4,0.6,-1.0,0.6,0.19999999999999996,-0.6
1,10,0.0,13.125,0.39726285738672856,0.6027371426132714,-1.071358334400271,0.6027371426132714,0.22013658798239513,-0.6457474611913331
1,10,0.0,13.75,0.3947460432446511,0.605253956755349,-1.1425860315379839,0.605253956755349,0.24052340150552942,-0.6915547165217567
