case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,0.9,0.0,1e-05,,10,10.0,0.0,0.9999,0.0,9.999,0.0,inf
5,0.9,0.0,1.11112,,10,4.999964000287998,1.0,0.44444399999999995,1.0,1.777760000143999,0.44444399999999995,3.9999640002879984
5,0.9,0.0,2.22223,,10,2.7499921250275627,1.0,0.38888849999999997,1.0,0.6805518125137813,0.38888849999999997,1.7499921250275627
5,0.9,0.0,3.33334,,10,1.9999970000060003,1.0,0.333333,1.0,0.3333320000030001,0.333333,0.9999970000060003
5,0.9,0.0,4.44445,,10,1.6249985937517581,1.0,0.2777775,1.0,0.173610546875879,0.2777775,0.6249985937517581
5,0.9,0.0,5.55556,,10,1.3999992800005763,1.0,0.22222200000000014,1.0,0.08888864000028812,0.22222200000000014,0.3999992800005763
5,0.9,0.0,6.66667,,10,1.2499996250001877,1.0,0.16666650000000016,1.0,0.041666562500093825,0.16666650000000016,0.24999962500018771
1,0.9,0.0,7.77778,,10,-1.0,-1.0,15.777781999999998,-1.0,0.0,-15.777781999999998,-0.0
1,0.9,0.0,8.88889,,10,-1.0,-1.0,17.888890999999997,-1.0,0.0,-17.888890999999997,-0.0
1,0.9,0.0,10.0,,10,-1.0,-1.0,20.0,-1.0,0.0,-20.0,-0.0
3,0.9,1.1111111111111112,1e-05,,10,10.0,0.0,0.9999,1.1111111111111112,8.888,1.111,8.0
5,0.9,1.1111111111111112,1.11112,,10,5.555519555843554,1.0,0.3827151111111111,2.111111111111111,1.3182271606378262,0.8079541234567902,1.6315618948732622
5,0.9,1.1111111111111112,2.22223,,10,3.305547680583118,1.0,0.26543127777777786,2.111111111111111,0.31704082485946034,0.5603549197530866,0.5657857434341086
1,0.9,1.1111111111111112,3.33334,,10,-1.0,-1.0,7.333346,0.11111111111111116,-8.148162222222222,0.8148162222222225,-9.999999999999996
1,0.9,1.1111111111111112,4.44445,,10,-1.0,-1.0,9.444455,0.11111111111111116,-10.493838888888888,1.0493838888888893,-9.999999999999995
1,0.9,1.1111111111111112,5.55556,,10,-1.0,-1.0,11.555563999999999,0.11111111111111116,-12.839515555555554,1.283951555555556,-9.999999999999995
1,0.9,1.1111111111111112,6.66667,,10,-1.0,-1.0,13.666673,0.11111111111111116,-15.185192222222222,1.5185192222222228,-9.999999999999996
1,0.9,1.1111111111111112,7.77778,,10,-1.0,-1.0,15.777781999999998,0.11111111111111116,-17.53086888888889,1.7530868888888895,-9.999999999999996
1,0.9,1.1111111111111112,8.88889,,10,-1.0,-1.0,17.888890999999997,0.11111111111111116,-19.876545555555552,1.9876545555555563,-9.999999999999995
