case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,1.0,0.0,1e-05,,10,10.0,0.0,0.9999,0.0,9.999,0.0,inf
6,1.0,0.0,0.03031292929292929,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.060615858585858585,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.09091878787878786,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.12122171717171716,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.15152464646464647,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.18182757575757574,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.21213050505050504,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.24243343434343434,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.2727363636363636,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.30303929292929294,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.3333422222222222,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.3636451515151515,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.3939480808080808,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.4242510101010101,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.4545539393939394,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.48485686868686867,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.5151597979797979,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.5454627272727272,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.5757656565656565,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.6060685858585858,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.636371515151515,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.6666744444444443,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.6969773737373737,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.7272803030303029,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.7575832323232322,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.7878861616161615,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.8181890909090909,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.8484920202020201,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,0.8787949494949494,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
