case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,0.1,0.0,1e-05,0.158,10,10.0,0.0,0.9999,0.0,8.9991,0.9999,9.0
3,0.1,0.0,0.00102,0.158,10,10.0,0.0,0.9898,0.0,8.908199999999999,0.9898,8.999999999999998
3,0.1,0.0,0.00203,0.158,10,10.0,0.0,0.9797,0.0,8.817300000000001,0.9797,9.000000000000002
3,0.1,0.0,0.00304,0.158,10,10.0,0.0,0.9696,0.0,8.7264,0.9696,9.0
3,0.1,0.0,0.00405,0.158,10,10.0,0.0,0.9595,0.0,8.6355,0.9595,9.0
3,0.1,0.0,0.00506,0.158,10,10.0,0.0,0.9494,0.0,8.544599999999999,0.9494,8.999999999999998
3,0.1,0.0,0.00607,0.158,10,10.0,0.0,0.9393,0.0,8.453700000000001,0.9393,9.000000000000002
3,0.1,0.0,0.0070799999999999995,0.158,10,10.0,0.0,0.9292,0.0,8.3628,0.9292,9.0
3,0.1,0.0,0.00809,0.158,10,10.0,0.0,0.9191,0.0,8.2719,0.9191,9.0
3,0.1,0.0,0.0091,0.158,10,10.0,0.0,0.909,0.0,8.181,0.909,8.999999999999998
3,0.1,0.0,0.010110000000000001,0.158,10,10.0,0.0,0.8989,0.0,8.090100000000001,0.8989,9.000000000000002
3,0.1,0.0,0.01112,0.158,10,10.0,0.0,0.8888,0.0,7.9992,0.8888,9.0
3,0.1,0.0,0.01213,0.158,10,10.0,0.0,0.8787,0.0,7.9083000000000006,0.8787,9.0
3,0.1,0.0,0.01314,0.158,10,10.0,0.0,0.8686,0.0,7.8174,0.8686,9.0
3,0.1,0.0,0.01415,0.158,10,10.0,0.0,0.8585,0.0,7.726500000000001,0.8585,9.0
3,0.1,0.0,0.01516,0.158,10,10.0,0.0,0.8484,0.0,7.6356,0.8484,9.0
3,0.1,0.0,0.01617,0.158,10,10.0,0.0,0.8383,0.0,7.544700000000001,0.8383,9.0
3,0.1,0.0,0.01718,0.158,10,10.0,0.0,0.8282,0.0,7.4538,0.8282,9.0
3,0.1,0.0,0.01819,0.158,10,10.0,0.0,0.8181,0.0,7.362900000000001,0.8181,9.0
3,0.1,0.0,0.019200000000000002,0.158,10,10.0,0.0,0.808,0.0,7.272,0.808,9.0
3,0.1,0.0,0.020210000000000002,0.158,10,10.0,0.0,0.7978999999999999,0.0,7.181099999999999,0.7978999999999999,9.0
3,0.1,0.0,0.02122,0.158,10,10.0,0.0,0.7878000000000001,0.0,7.0902,0.7878000000000001,9.0
3,0.1,0.0,0.02223,0.158,10,10.0,0.0,0.7777000000000001,0.0,6.999300000000001,0.7777000000000001,9.0
3,0.1,0.0,0.02324,0.158,10,10.0,0.0,0.7676000000000001,0.0,6.9084,0.7676000000000001,9.0
3,0.1,0.0,0.02425,0.158,10,10.0,0.0,0.7575000000000001,0.0,6.817500000000001,0.7575000000000001,9.0
3,0.1,0.0,0.02526,0.158,10,10.0,0.0,0.7474000000000001,0.0,6.7266,0.7474000000000001,9.0
3,0.1,0.0,0.02627,0.158,10,10.0,0.0,0.7373,0.0,6.635699999999999,0.7373,9.0
3,0.1,0.0,0.027280000000000002,0.158,10,10.0,0.0,0.7272,0.0,6.5447999999999995,0.7272,9.0
3,0.1,0.0,0.02829,0.158,10,10.0,0.0,0.7171000000000001,0.0,6.453900000000001,0.7171000000000001,9.0
3,0.1,0.0,0.0293,0.158,10,10.0,0.0,0.7070000000000001,0.0,6.363,0.7070000000000001,9.0
3,0.1,0.0,0.03031,0.158,10,10.0,0.0,0.6969000000000001,0.0,6.272100000000001,0.6969000000000001,9.0
3,0.1,0.0,0.03132000000000001,0.158,10,10.0,0.0,0.6867999999999999,0.0,6.181199999999999,0.6867999999999999,9.0
3,0.1,0.0,0.032330000000000005,0.158,10,10.0,0.0,0.6767,0.0,6.090299999999999,0.6767,9.0
3,0.1,0.0,0.03334,0.158,10,10.0,0.0,0.6666,0.0,5.9994,0.6666,9.0
3,0.1,0.0,0.034350000000000006,0.158,10,10.0,0.0,0.6565,0.0,5.908499999999999,0.6565,9.0
3,0.1,0.0,0.03536,0.158,10,10.0,0.0,0.6464,0.0,5.8176,0.6464,9.0
3,0.1,0.0,0.036370000000000006,0.158,10,10.0,0.0,0.6362999999999999,0.0,5.726699999999999,0.6362999999999999,9.0
3,0.1,0.0,0.037380000000000004,0.158,10,10.0,0.0,0.6262,0.0,5.6358,0.6262,9.0
