case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.0,0.0,0.8,1.7,0.5,1.25,0.8652008766581923,2.209239043405003,0.30783929867344606,0.13061325036597815,0.2817129520096887,0.023236772722745783,0.3049497247324345,0.42831076657170075
1,0.0,0.050505050505050504,0.8,1.7,0.5,1.25,0.8663293385754464,2.2799664056827846,0.30693652913964287,0.1294909968514737,0.28305381558262,0.021241285437616157,0.30429510102023616,0.4255441392822894
1,0.0,0.10101010101010101,0.8,1.7,0.5,1.25,0.8673204295082435,2.3511361486020257,0.30614365639340513,0.1284641722209593,0.28427110801036715,0.019453444531873976,0.3037245525422411,0.4229627507742986
1,0.0,0.15151515151515152,0.8,1.7,0.5,1.25,0.8681923207361644,2.422714599002402,0.30544614341106846,0.1275229190961392,0.2853777182928283,0.01784885730016274,0.30322657559299104,0.42055324091153584
1,0.0,0.20202020202020202,0.8,1.7,0.5,1.25,0.8689606276877013,2.4946703301671964,0.3048314978498389,0.12665853268694696,0.28638512546086914,0.016406203602749674,0.30279132906361883,0.41830303753624004
1,0.0,0.25252525252525254,0.8,1.7,0.5,1.25,0.8696387812683518,2.5669741323923816,0.3042889749853185,0.12586331582238003,0.2873035463877173,0.015106840194706456,0.3024103865824238,0.41620037342227734
1,0.0,0.30303030303030304,0.8,1.7,0.5,1.25,0.8702383453434392,2.639598956088629,0.3038093237252486,0.12513045270477474,0.28814207166702727,0.013934453980582063,0.30207652564760934,0.41423428198041123
1,0.0,0.35353535353535354,0.8,1.7,0.5,1.25,0.8707692878382273,2.7125198159057646,0.3033845697294182,0.1244538990411879,0.28890878902528766,0.01287475935825371,0.3017835483835414,0.41239457786153905
1,0.0,0.40404040404040403,0.8,1.7,0.5,1.25,0.8712402119460895,2.785713684007305,0.3030078304431284,0.1238282864634404,0.2896108950437677,0.011915234344191401,0.3015261293879591,0.4106718270645014
1,0.0,0.45454545454545453,0.8,1.7,0.5,1.25,0.8716585531556468,2.8591593755787157,0.3026731574754825,0.12324883938838796,0.2902547956236632,0.011044891031008112,0.3012996866546713,0.40905731020439856
1,0.0,0.5050505050505051,0.8,1.7,0.5,1.25,0.8720307470824964,2.932837425967603,0.30237540233400284,0.12271130269064878,0.29084619581442517,0.01025407627851237,0.30110027209293755,0.4075429817372358
1,0.0,0.5555555555555556,0.8,1.7,0.5,1.25,0.8723623723933055,3.0067299675743895,0.3021101020853556,0.12221187876063772,0.29139017989405575,0.009534298796942106,0.30092447869099787,0.40612142718416105
