case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.0,0.0,0.4,0.1,1.25,0.34,10,2.9,0.3134861808826053,0.30169784653669585,0.06661581343755363
1,0.0,0.050505050505050504,0.4,0.1,1.25,0.34,10,3.0796767676767676,0.2917462950158104,0.2807754673380358,0.061996087690859715
1,0.0,0.10101010101010101,0.4,0.1,1.25,0.34,10,3.259353535353535,0.2715140438274266,0.26130402972334005,0.057696734313328155
1,0.0,0.15151515151515152,0.4,0.1,1.25,0.34,10,3.4390303030303024,0.2526848746837614,0.24318291265615322,0.05369553587029929
1,0.0,0.20202020202020202,0.4,0.1,1.25,0.34,10,3.6187070707070705,0.2351614855492735,0.22631847304667857,0.04997181567922061
1,0.0,0.25252525252525254,0.4,0.1,1.25,0.34,10,3.7983838383838395,0.21885332216639802,0.21062356183965275,0.04650633096035961
1,0.0,0.30303030303030304,0.4,0.1,1.25,0.34,10,3.9780606060606254,0.20367611010533884,0.19601707366093765,0.04328117339738484
1,0.0,0.35353535353535354,0.4,0.1,1.25,0.34,10,4.1577373737373104,0.18955141926565228,0.18242352769558667,0.04027967659395009
1,0.0,0.40404040404040403,0.4,0.1,1.25,0.34,10,4.337414141414141,0.17640625857906744,0.16977267763146017,0.03748632994805183
1,0.0,0.45454545454545453,0.4,0.1,1.25,0.34,10,4.517090909090928,0.1641726988192712,0.15799914865287132,0.034886698499095405
1,0.0,0.5050505050505051,0.4,0.1,1.25,0.34,10,4.696767676767677,0.15278752156927036,0.14704209960817952,0.03246734833346995
1,0.0,0.5555555555555556,0.4,0.1,1.25,0.34,10,4.876444444444445,0.1421918925324986,0.1368449086057065,0.03021577716315595
1,0.0,0.6060606060606061,0.4,0.1,1.25,0.34,10,5.056121212121065,0.13233105749940588,0.1273548804131982,0.02812034971862209
1,0.0,0.6565656565656566,0.4,0.1,1.25,0.34,10,5.235797979797916,0.12315405939833811,0.11852297414872301,0.026170237622146184
1,0.0,0.7070707070707071,0.4,0.1,1.25,0.34,10,5.4154747474747476,0.11461347496869821,0.11030354985597528,0.024355363430848372
1,0.0,0.7575757575757576,0.4,0.1,1.25,0.34,10,5.595151515151498,0.10666516969539777,0.10265413265417203,0.02266634856027187
1,0.0,0.8080808080808081,0.4,0.1,1.25,0.34,10,5.774828282828283,0.09926806973835423,0.09553519324391314,0.021094464819400274
1,0.0,0.8585858585858586,0.4,0.1,1.25,0.34,10,5.954505050505051,0.09238394967841121,0.08890994363470422,0.019631589306662388
1,0.0,0.9090909090909091,0.4,0.1,1.25,0.34,10,6.1341818181818155,0.08597723498279765,0.08274414703850452,0.01827016243384448
1,0.0,0.9595959595959596,0.4,0.1,1.25,0.34,10,6.313858585858453,0.08001481816938387,0.07700594094694235,0.01700314886099317
1,0.0,1.0101010101010102,0.4,0.1,1.25,0.34,10,6.4935353535353535,0.07446588771969556,0.07166567247788412,0.015824001140435306
1,0.0,1.0606060606060606,0.4,0.1,1.25,0.34,10,6.673212121212121,0.0693017688566635,0.06669574514057752,0.014726625882040992
1,0.0,1.1111111111111112,0.4,0.1,1.25,0.34,10,6.852888888888888,0.06449577536416226,0.062070476227368304,0.013705352264884474
1,0.0,1.1616161616161615,0.4,0.1,1.25,0.34,10,7.03256565656564,0.060023071682744546,0.05776596409518661,0.012754902732583132
1,0.0,1.2121212121212122,0.4,0.1,1.25,0.34,10,7.212242424242121,0.05586054456884932,0.053759964650882314,0.011870365720879045
1,0.0,1.2626262626262625,0.4,0.1,1.25,0.34,10,7.391919191919192,0.05198668365425753,0.05003177640212283,0.011047170276529726
1,0.0,1.3131313131313131,0.4,0.1,1.25,0.34,10,7.571595959595959,0.04838147028869625,0.04656213347996012,0.010281062436347955
1,0.0,1.3636363636363635,0.4,0.1,1.25,0.34,10,7.751272727272727,0.04502627409094787,0.043333106080031866,0.00956808324432642
1,0.0,1.4141414141414141,0.4,0.1,1.25,0.34,10,7.930949494949489,0.041903756674109095,0.04032800780813589,0.008904548293248164
1,0.0,1.4646464646464645,0.4,0.1,1.25,0.34,10,8.110626262626194,0.038997782047349015,0.0375313094512405,0.008287028685061443
1,0.0,1.5151515151515151,0.4,0.1,1.25,0.34,10,8.290303030302272,0.0362933332312085,0.03492855872838214,0.00771233331162947
1,0.0,1.5656565656565655,0.4,0.1,1.25,0.34,10,8.469979797979796,0.03377643465547607,0.03250630560669154,0.007177492364288663
1,0.0,1.6161616161616161,0.4,0.1,1.25,0.34,10,8.649656565656565,0.03143407993881858,0.030252032796799246,0.00667974198699895
1,0.0,1.6666666666666667,0.4,0.1,1.25,0.34,10,8.829333333333333,0.029254164676609514,0.028154091068110287,0.00621650999377952
1,0.0,1.7171717171717171,0.4,0.1,1.25,0.34,10,9.009010101010096,0.027225423889990722,0.02620163905003151,0.005785402576623018
1,0.0,1.7676767676767677,0.4,0.1,1.25,0.34,10,9.188686868686826,0.025337373812705063,0.024384587207852103,0.0053841919351997345
1,0.0,1.8181818181818181,0.4,0.1,1.25,0.34,10,9.368363636363233,0.02358025771495358,0.022693545703840464,0.005010804764426828
1,0.0,1.8686868686868687,0.4,0.1,1.25,0.34,10,9.548040404040403,0.021944995484285173,0.02111977587409411,0.004663311540410598
1,0.0,1.9191919191919191,0.4,0.1,1.25,0.34,10,9.72771717171717,0.02042313670303846,0.0196551450704574,0.004339916549395671
1,0.0,1.9696969696969697,0.4,0.1,1.25,0.34,10,9.90739393939394,0.019006816979738505,0.018292084634032417,0.004038948608194433
3,0.0,2.0202020202020203,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.003756519035434037
3,0.0,2.0707070707070705,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.003476792977989713
3,0.0,2.121212121212121,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.003197066920545386
3,0.0,2.1717171717171717,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.002917340863101059
3,0.0,2.2222222222222223,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0026376148056567322
3,0.0,2.2727272727272725,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.002357888748212408
3,0.0,2.323232323232323,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0020781626907680796
3,0.0,2.3737373737373737,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.001798436633323754
3,0.0,2.4242424242424243,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0015187105758794285
3,0.0,2.474747474747475,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0012389845184351
3,0.0,2.525252525252525,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0009592584609907746
3,0.0,2.5757575757575757,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0006795324035464489
3,0.0,2.6262626262626263,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.00039980634610212336
3,0.0,2.676767676767677,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.00012008028865779503
1,0.0,2.727272727272727,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.289450371082668
1,0.0,2.7777777777777777,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.323440001113598
1,0.0,2.8282828282828283,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.357429631144527
1,0.0,2.878787878787879,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.3914192611754572
1,0.0,2.929292929292929,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.4254088912063865
1,0.0,2.9797979797979797,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.4593985212373166
1,0.0,3.0303030303030303,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.4933881512682463
1,0.0,3.080808080808081,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.527377781299176
1,0.0,3.131313131313131,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.5613674113301053
1,0.0,3.1818181818181817,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.5953570413610354
1,0.0,3.2323232323232323,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.629346671391965
1,0.0,3.282828282828283,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.663336301422895
1,0.0,3.3333333333333335,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.6973259314538245
1,0.0,3.3838383838383836,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.731315561484754
1,0.0,3.4343434343434343,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.765305191515684
1,0.0,3.484848484848485,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.7992948215466136
1,0.0,3.5353535353535355,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.8332844515775433
1,0.0,3.5858585858585856,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.867274081608473
1,0.0,3.6363636363636362,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.9012637116394027
1,0.0,3.686868686868687,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.935253341670333
1,0.0,3.7373737373737375,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.969242971701262
1,0.0,3.7878787878787876,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.0032326017321918
1,0.0,3.8383838383838382,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.0372222317631214
1,0.0,3.888888888888889,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.071211861794051
1,0.0,3.9393939393939394,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.105201491824981
1,0.0,3.9898989898989896,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.1391911218559105
1,0.0,4.040404040404041,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.1731807518868407
1,0.0,4.090909090909091,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.2071703819177704
1,0.0,4.141414141414141,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.241160011948699
1,0.0,4.191919191919192,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.2751496419796293
1,0.0,4.242424242424242,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.309139272010559
1,0.0,4.292929292929293,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.3431289020414896
