case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
2,1.0,1.0,0.0,1.25,0.34,0.9684,1.0,1.0,0.9999999984869016,0.0859231550949162,0.0,1.5130984243327816e-09,-0.0,2.484071518644745e-18,2.484071518644745e-18
2,1.0,1.0,0.010101010101010102,1.25,0.34,0.9684,1.0,1.0,0.9999999936666512,0.0824515017571686,0.0,6.3333488453665154e-09,-0.0,4.3520768760437905e-17,4.3520768760437905e-17
2,1.0,1.0,0.020202020202020204,1.25,0.34,0.9684,1.0,1.0,0.9999999995013189,0.07897987179170528,0.0,4.986810964169308e-10,-0.0,2.698208728247433e-19,2.698208728247433e-19
2,1.0,1.0,0.030303030303030304,1.25,0.34,0.9684,1.0,1.0,0.9999999960152604,0.07550822138059786,0.0,3.9847396493541964e-09,-0.0,1.722779266787775e-17,1.722779266787775e-17
4,1.0,1.0,0.04040404040404041,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
2,1.0,1.0,0.05050505050505051,1.25,0.34,0.9684,1.0,1.0,0.9999999938506663,0.06856493110401012,0.0,6.149333708904692e-09,-0.0,4.102852122257553e-17,4.102852122257553e-17
2,1.0,1.0,0.06060606060606061,1.25,0.34,0.9684,1.0,1.0,0.9999999956007646,0.06509329217876719,0.0,4.399235420393666e-09,-0.0,2.0998300538083142e-17,2.0998300538083142e-17
4,1.0,1.0,0.07070707070707072,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
2,1.0,1.0,0.08080808080808081,1.25,0.34,0.9684,1.0,1.0,0.9999999991690552,0.05815001447765025,0.0,8.309447574461615e-10,-0.0,7.491590791432498e-19,7.491590791432498e-19
2,1.0,1.0,0.09090909090909091,1.25,0.34,0.9684,1.0,1.0,0.9999999981754328,0.05467836953387027,0.0,1.8245671640215733e-09,-0.0,3.612014209844678e-18,3.612014209844678e-18
2,1.0,1.0,0.10101010101010102,1.25,0.34,0.9684,1.0,1.0,0.9999999993983796,0.05120672945228469,0.0,6.01620420148663e-10,-0.0,3.9271263848948955e-19,3.9271263848948955e-19
2,1.0,1.0,0.11111111111111112,1.25,0.34,0.9684,1.0,1.0,0.9999999991920848,0.04773508623556115,0.0,8.079151792017569e-10,-0.0,7.082087315688533e-19,7.082087315688533e-19
4,1.0,1.0,0.12121212121212122,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
2,1.0,1.0,0.13131313131313133,1.25,0.34,0.9684,1.0,1.0,0.9999999909352734,0.04079178259528226,0.0,9.064726635976683e-09,-0.0,8.915365731164684e-17,8.915365731164684e-17
2,1.0,1.0,0.14141414141414144,1.25,0.34,0.9684,1.0,1.0,0.9999999986593237,0.03732015677430742,0.0,1.3406763477163963e-09,-0.0,1.9501931426355444e-18,1.9501931426355444e-18
2,1.0,1.0,0.15151515151515152,1.25,0.34,0.9684,1.0,1.0,0.999999995336348,0.033848506720933286,0.0,4.6636520201204235e-09,-0.0,2.359837038088537e-17,2.359837038088537e-17
2,1.0,1.0,0.16161616161616163,1.25,0.34,0.9684,1.0,1.0,0.9999999999337928,0.03037687404153785,0.0,6.620715087279905e-11,-0.0,4.7559748172195846e-21,4.7559748172195846e-21
2,1.0,1.0,0.17171717171717174,1.25,0.34,0.9684,1.0,1.0,0.9999999919827727,0.026905213836234808,0.0,8.017227326462262e-09,-0.0,6.9739388253226e-17,6.9739388253226e-17
2,1.0,1.0,0.18181818181818182,1.25,0.34,0.9684,1.0,1.0,0.9999999952531454,0.02343357824581672,0.0,4.746854576076487e-09,-0.0,2.4447901962016193e-17,2.4447901962016193e-17
2,1.0,1.0,0.19191919191919193,1.25,0.34,0.9684,1.0,1.0,0.9999999991165276,0.019961943956204972,0.0,8.834724063433441e-10,-0.0,8.468680260083626e-19,8.468680260083626e-19
4,1.0,1.0,0.20202020202020204,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
2,1.0,1.0,0.21212121212121213,1.25,0.34,0.9684,1.0,1.0,0.999999997665691,0.013018655245292833,0.0,2.3343089683436347e-09,-0.0,5.912163265454221e-18,5.912163265454221e-18
2,1.0,1.0,0.22222222222222224,1.25,0.34,0.9684,1.0,1.0,0.9999999946755593,0.009547005922034493,0.0,5.3244406661434596e-09,-0.0,3.0759390387048605e-17,3.0759390387048605e-17
2,1.0,1.0,0.23232323232323235,1.25,0.34,0.9684,1.0,1.0,0.999999995582308,0.006075365146847127,0.0,4.417691989999639e-09,-0.0,2.117486278177957e-17,2.117486278177957e-17
