case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
1,0.5,1.0,0.0,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6436160000000002,-0.1436160000000002
1,0.5,1.0,0.010101010101010102,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.648767515151515,-0.1487675151515151
1,0.5,1.0,0.020202020202020204,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.65391903030303,-0.15391903030303
1,0.5,1.0,0.030303030303030304,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6590705454545454,-0.15907054545454535
1,0.5,1.0,0.04040404040404041,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6642220606060607,-0.1642220606060607
1,0.5,1.0,0.05050505050505051,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6693735757575758,-0.16937357575757583
1,0.5,1.0,0.06060606060606061,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.674525090909091,-0.17452509090909096
1,0.5,1.0,0.07070707070707072,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6796766060606063,-0.17967660606060631
1,0.5,1.0,0.08080808080808081,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6848281212121212,-0.18482812121212122
1,0.5,1.0,0.09090909090909091,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6899796363636361,-0.18997963636363613
1,0.5,1.0,0.10101010101010102,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.6951311515151515,-0.19513115151515148
1,0.5,1.0,0.11111111111111112,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7002826666666666,-0.2002826666666666
1,0.5,1.0,0.12121212121212122,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7054341818181817,-0.20543418181818174
1,0.5,1.0,0.13131313131313133,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.710585696969697,-0.2105856969696971
1,0.5,1.0,0.14141414141414144,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.715737212121212,-0.215737212121212
1,0.5,1.0,0.15151515151515152,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7208887272727273,-0.22088872727272735
1,0.5,1.0,0.16161616161616163,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7260402424242423,-0.22604024242424225
1,0.5,1.0,0.17171717171717174,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7311917575757574,-0.23119175757575738
1,0.5,1.0,0.18181818181818182,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7363432727272727,-0.23634327272727274
1,0.5,1.0,0.19191919191919193,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.741494787878788,-0.2414947878787881
1,0.5,1.0,0.20202020202020204,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7466463030303028,-0.24664630303030277
1,0.5,1.0,0.21212121212121213,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7517978181818181,-0.2517978181818181
1,0.5,1.0,0.22222222222222224,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7569493333333335,-0.2569493333333335
1,0.5,1.0,0.23232323232323235,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7621008484848484,-0.2621008484848484
1,0.5,1.0,0.24242424242424243,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7672523636363635,-0.2672523636363635
1,0.5,1.0,0.25252525252525254,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7724038787878789,-0.27240387878787886
1,0.5,1.0,0.26262626262626265,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.777555393939394,-0.277555393939394
1,0.5,1.0,0.27272727272727276,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.782706909090909,-0.2827069090909089
1,0.5,1.0,0.2828282828282829,1.25,0.34,0.9684,2.0,-1.0,-1.0,-1.0,1.5,1.5,-1.5,-1.7878584242424242,-0.28785842424242425
